well_id,x,y
GW-1,319,149
GW-2,366,233
GW-3,420,299
GW-4,416,387
GW-5,338,437
GW-6,250,433
GW-7,162,406
GW-8,145,335
GW-9,166,258
GW-10,185,172
GW-11,232,114
GW-12,287,76
GW-13,331,340
GW-14,216,330
GW-15,261,209
